person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,emp_length_missing,int_rate_missing,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,actual_default,pd_score,risk_bucket,loan_decision,interest_rate,expected_loss,expected_interest_income,expected_profit
-0.9146334446928407,-0.37740604620882456,6.0,-0.5725213771503428,0.29073999706808795,-0.4698150591119862,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.20202027,Low Risk,Approve,0.1,-0.06939655822555567,-0.05725213771503428,0.012144420510521385
0.6911409899940204,-0.324568616630387,0.0,-0.3903955892259147,-1.1520654993601667,-0.28255862951409627,0,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.11977247,Low Risk,Approve,0.1,-0.028055188492853444,-0.03903955892259148,-0.010984370429738034
1.4940282073374511,3.717494746120086,3.0,1.3701536940435572,-0.2011255130779079,-0.7506997035088209,0,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.12717369,Low Risk,Approve,0.1,0.10454850844256663,0.13701536940435574,0.03246686096178911
-0.2723236708180962,0.9435296932521143,5.0,2.3414912296405075,-0.00437930901950968,0.6537235184753523,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.17852914,Low Risk,Approve,0.1,0.2508146609884704,0.23414912296405077,-0.016665538024419613
-0.7540560012241546,-0.5269359719158029,0.0,-1.0581901449488178,0.6481622677741783,-0.9379561331067104,1,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0148287425,Low Risk,Approve,0.1,-0.009414977887921094,-0.10581901449488179,-0.0964040366069607
-0.5934785577554684,-0.9057803419932001,1.0,-1.0581901449488178,-0.20768371987985496,-0.6570714887098759,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.40550667,Medium Risk,Approve with Conditions,0.16,-0.25746191005920505,-0.16931042319181086,0.08815148686739419
-0.2723236708180962,1.339810415090396,3.0,1.693932872575874,0.7071861289916976,-0.0016739851172616544,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.14398512,Low Risk,Approve,0.1,0.14634068428838246,0.1693932872575874,0.023052602969204944
-1.0752108881615268,0.04529339041867591,4.0,-0.4106317878841845,-1.0241804667222079,-0.5634432739109311,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117677175,Low Risk,Approve,0.1,-0.028993193748857414,-0.04106317878841845,-0.012069985039561033
0.04883121611927599,-1.0114552011500753,3.0,-1.139134939581897,-1.1520654993601667,-0.6570714887098759,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.034523968,Low Risk,Approve,0.1,-0.02359647595734961,-0.11391349395818971,-0.0903170180008401
0.8517184334627066,-0.27173118705194943,7.0,3.280450847384226,1.3859605329931721,3.9307110364384226,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.8570812,High Risk,Reject,0.22,1.6869676780012062,0.7216991864245297,-0.9652684915766765
0.5305635465253343,0.996367122830552,5.0,-0.8963005556826595,-1.0241804667222079,-1.218840777503545,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.038729493,Low Risk,Approve,0.1,-0.020827959763628397,-0.08963005556826596,-0.06880209580463756
2.1363379812121956,0.28306182352164494,15.0,-0.8963005556826595,1.7335454934963421,-1.1252125627046003,1,12,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.5482646,Medium Risk,Approve with Conditions,0.16,-0.2948459369283643,-0.14340808890922552,0.1514378480191388
0.3699861030566482,1.2077168411443022,8.0,0.3988161584466072,0.38583399569631355,-0.5634432739109311,0,7,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.14125656,Low Risk,Approve,0.1,0.03380123997406937,0.039881615844660726,0.006080375870591355
0.04883121611927599,0.28306182352164494,3.0,2.179601640374349,-0.1617762722662285,1.3091210220679665,0,9,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.9616831,High Risk,Reject,0.22,1.2576516301774436,0.47951236088235677,-0.7781392692950868
-0.7540560012241546,-0.3995713479169791,1.0,-0.24874219861802616,0.7104652323926709,-0.09530219991620661,1,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0.9815066,High Risk,Reject,0.22,-0.14648526667223363,-0.054723283695965755,0.09176198297626788
